COMORES INFOS
RTMC MBENI 
FCBK FM COMORES 
HABARI ZACOMORI 
COMORES ACTUALITES 
AL TWAWN 
INFO COMORES INFO
HAYBA FM 
LA GAZETTE 
FRONT DEPARTEMENTAL MAHORAIS 
RADIO COMORES INFOS RCI 
MASSIWA KOMOR 
YEZA DJIRI COMORES 
GRTV MBENI  
SALIM SAADI 
AL COMORYA NET 
FIKIRA ZA COMORES 
RTMC HABARI ZA MASSIWA 
AL GAZETTE JOURNAL DES COMORES 
TWAMAYA  INFO 
JUWA PEUPLE FORCE 
MOGOZI FM 
COMORES APPEL DE PARIS 
FACEBOOK FM 
SAMBI ON TAIME 
LA GACHETTE 
LIBEREZ LES COMORES 
MBADJINI FM 
JUWA France 
APPELLE DE MARSEILLE 
LA PAGE COMORIENNE 
MKAIDI INFO 
AL FAJR QUOTIDIEN 
HABARI ZA MASSIWA 
COMORES NEWS 
COMORES REVOLUTION 
JUWA STRASBOURG EST 
JUWA STRASBOURF GRAND EST 
LEMOHELIEN.COM
Liberez Les COMORES 
Habari Za Chelewa 
HABARI Za Muhtaswar
illicite aux Comores Corrections 
Aktualite Za Comores
Gouverneur du Parti Juwa Dr Salami 
Revolution Combat 
La jeunesse Consciente du mouvement Hury 
CNR Conseil national de la resistance 
Ndzouani Taenrifa Habari 
Comores Marachi 
Habari Za Moroni 
Libere Anjouan 
JUWA a 200%
COMORES TSIMHARA
KAPVATSI Zawdziha Tsena 
Diaspora FEMMES Comoriennes 
NARIWANE NE SIYASA YA WOUHADAZI
POUR LA Lutte de La liberte
Rifaid Comores Officiel
NGO'SHAWO France
L'Heure de la Revolution aux Comores a Sonne
Diapora Comorienne en Ile de France
DAULA YA HAKI idf 
RADIO KUTRU KUTRU 
AL WATWAN 
LA CHAINE COMORIENNE 
LES COMORES 
RADIO DOUANAI WEB 
LA CHAINE LIBRE DES COMORES 
NGOSHAWO
WATWANIYA COMORES 
COMORES FAX 
RTMC BAHANI 
CHABAKATI AL  INTERNETIYA  
RADIO TELEVISION SUD 
LOUBNA YAZID 
HABARI ZA MORONI 
MORONI INFOS 
COMORES 4 INFO VX INTOX 
OUSTADH SAID MOHAMED SAID HAROUNA 
JOURNAL L'HEBDO
COMORES MATIN 
CENTRE MEDIATIQUE MODERNE DES COMORES 
LA VOIX DES COMORES 
COMORES FAX ENGLISH 
Les Comores d'abord 
Raiya M'Comores
Releve ( semblable a CMMC)
UPDC Federation de France Union pour le 
developpement des Comores 
RDDC -Rassemblement de la Diaspora pour le 
Developpement des Comores 
Grande Comores Officiel 
HABARI ZA COMORES
BOGO CITY DE MORONI 
MEDIA PAC TV
LA CHAINE COMORIENNE 
SUD MEDIA+
ORTEGA LIVE 
RADIO DUNIA WEB 
COMORES 24 .COM
MOHELI INFOS 
RADIO COMORES INTEL 
BADJINI FM 
DJABAL TV
BAMBAO RADIO TV
COMORES DIRECT 
MONTSI TV 
Vandjou News Comores 
Wanantsi Wa Comores 
Habari Za Kweli 
Crj radio des jeunes 
Owazona Nazambe 
Comores24 .Com
Crj radio des jeunes 
Habari ZA Kweli 
Wanantsi Wa Comores 
Ulanga Wa NGAZIDJA
Wanantsi Wa Comores 
CHAINE LIBRE des Comores 
ANAJOUAN L'ILE Etoile 
La Vie de Bouenindi hamanvou 
COMORES -ONLINE
Dimadjou Itsandra Marseille 
ville de Domoni 
PARABOLIQUE Lyon 
MITSAMIOULI FM 
Lite Fm depuis Comores 
Comores PEOPLE 
ASCCRComoriens de Ris orangis
Les Iles de la PAIX Comoros Actualites 
MOUSSAWI SAIF 
FAHARDINE SAID ABOUDOU 
SAID MOHAMED DJIBRIL 
CAP PATRIE 
COACH ROGER 
JHONE BALOZE
LES FAN SMABI ESPOIRS COMORES 
NDUWANI TAENRIFA HABARI 
CHANFAN CHACHAN
NARIVENDZE YE COMORES
Elarif Said Mohamed 
Mrongowa Kwelu 
Ahmed Mouigni 
A. m.Sambi Attoumane Gallela 
Huey Percy Newton 
Bassame Bourhane 
Djo-Djo Baba 
Ahamada Riziki
Issilame Hamza
Takidine Farid
AHMED Boinaid ( CNR)
ZALI Bacari 
Comores Manzda
Relais AGWA Comores 
ZAKI Soilihi
Said Miriel
Le Monde Dans ( page officelle)
Mtsounag Mohamed 
Mohamed Elarif Saadi
Khalid Dardour
Athoumane Mhoma
Ibou Boura 
aicha Said Omar 
GENRAL MASSIWA 
Dajoula Bacar 
Ali Mohamed 
TOIHIR Daoud 
MSA ALI DJAMAL 
ANLIA MSAHAZI 
Houmadi Mze
Zaoudjati Fakridine
Ali Mhoma
Fakihi Mradabi 
Haesha Mawudu 
Mwamba Kweli
Habar Zahowanatsi Komori 
Maanloumi 
YE MWENDZA ANKILI MGU 
Comores Je T'Aime 
Moussa Issa 
Ahamda Mroimana Nassur 
NARA WAZE 
Le Monde Dans (profil facebook)
Naridjuwe Zidjiriwu
Al Abdouraim Mohamed 
